chrom	length	bases	mean	min	max
chr1	248956422	127501	0.00	0	728
chr1_region	248956422	127501	0.00	0	728
chr2	242193529	47022	0.00	0	536
chr2_region	242193529	47022	0.00	0	536
chr3	198295559	34198	0.00	0	594
chr3_region	198295559	34198	0.00	0	594
chr4	190214555	15450	0.00	0	162
chr4_region	190214555	15450	0.00	0	162
chr5	181538259	51206	0.00	0	774
chr5_region	181538259	51206	0.00	0	774
chr6	170805979	80036	0.00	0	462
chr6_region	170805979	80036	0.00	0	462
chr7	159345973	24799	0.00	0	482
chr7_region	159345973	24799	0.00	0	482
chr8	145138636	36044	0.00	0	236
chr8_region	145138636	36044	0.00	0	236
chr9	138394717	33199	0.00	0	400
chr9_region	138394717	33199	0.00	0	400
chr10	133797422	48232	0.00	0	1264
chr10_region	133797422	48232	0.00	0	1264
chr11	135086622	21536	0.00	0	184
chr11_region	135086622	21536	0.00	0	184
chr12	133275309	32412	0.00	0	326
chr12_region	133275309	32412	0.00	0	326
chr13	114364328	17981	0.00	0	176
chr13_region	114364328	17981	0.00	0	176
chr14	107043718	89615	0.00	0	159
chr14_region	107043718	89615	0.00	0	159
chr15	101991189	19517	0.00	0	776
chr15_region	101991189	19517	0.00	0	776
chr16	90338345	10029	0.00	0	306
chr16_region	90338345	10029	0.00	0	306
chr17	83257441	12081	0.00	0	168
chr17_region	83257441	12081	0.00	0	168
chr18	80373285	19631	0.00	0	358
chr18_region	80373285	19631	0.00	0	358
chr19	58617616	7065	0.00	0	72
chr19_region	58617616	7065	0.00	0	72
chr20	64444167	8396	0.00	0	202
chr20_region	64444167	8396	0.00	0	202
chr21	46709983	13506	0.00	0	398
chr21_region	46709983	13506	0.00	0	398
chr22	50818468	14188695	0.28	0	276
chr22_region	50818468	14188695	0.28	0	276
chrX	156040895	81027	0.00	0	706
chrX_region	156040895	81027	0.00	0	706
chrY	57227415	2479	0.00	0	48
chrY_region	57227415	2479	0.00	0	48
total	3088269832	15021657	0.00	0	1264
total_region	3088269832	15021657	0.00	0	1264
