Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000236235	LA16c-13E4.3	22	+	15290718	15297196	0.000000	0.000000	0.000000
ENSG00000231565	NEK2P2	22	-	15611759	15613096	0.014200	0.463291	0.628372
ENSG00000224435	NF1P6	22	-	15622601	15632051	0.000000	0.000000	0.000000
ENSG00000234381	MED15P7	22	-	15635180	15644330	0.000000	0.000000	0.000000
ENSG00000198062	POTEH	22	+	15690026	15721631	0.768644	29.825468	40.452999
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.239537	7.815156	10.599884
ENSG00000239435	KCNMB3P1	22	-	16575363	16582707	0.000000	0.000000	0.000000
ENSG00000223875	NBEAP3	22	+	15852990	15893942	0.000000	0.000000	0.000000
ENSG00000215270	LA16c-60H5.7	22	-	15854195	15855243	0.000000	0.000000	0.000000
ENSG00000206195	DUXAP8	22	+	15784959	15829984	5.558132	507.527130	688.371216
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	2.179395	71.105141	96.441605
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	10.337175	337.261627	457.436035
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.308134	10.053207	13.635407
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.394000	12.854680	17.435110
ENSG00000172967	XKR3	22	-	16783412	16821699	0.738462	24.093126	32.678089
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.230823	7.530852	10.214275
ENSG00000273442	AC006946.17	22	+	17080701	17081456	0.441799	14.414175	19.550291
ENSG00000237438	CECR7	22	+	17036570	17060825	0.778015	74.020874	100.396278
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.827123	153.251831	207.859131
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.922636	45.742172	62.041206
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.471612	15.386856	20.869562
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	0.129611	4.326872	5.868640
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.434484	49.392277	66.991936
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000280156	AC006548.28	22	-	16950086	17034417	0.001767	0.057650	0.078192
ENSG00000215568	GAB4	22	-	16961936	17008222	0.000000	0.000000	0.000000
ENSG00000270226	AC006548.26	22	+	17012404	17012932	0.000000	0.000000	0.000000
ENSG00000276400	VN1R9P	22	-	17021398	17022570	0.000000	0.000000	0.000000
ENSG00000069998	CECR5	22	-	17137511	17165287	4.462925	380.321411	515.839050
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.000000	0.000000	0.000000
ENSG00000093072	CECR1	22	-	17178790	17221989	0.631034	26.582859	36.054970
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.000000	0.000000	0.000000
ENSG00000182902	SLC25A18	22	+	17563439	17590994	0.168952	11.645948	15.795679
ENSG00000236754	AC004019.13	22	-	17580157	17589192	0.000000	0.000000	0.000000
ENSG00000099954	CECR2	22	+	17359949	17558149	0.131767	69.456383	94.205353
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.169611	5.533744	7.505550
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
ENSG00000276160	GGTLC5P	22	+	18340145	18345899	0.000000	0.000000	0.000000
ENSG00000184979	USP18	22	+	18149899	18177397	1.531156	49.955635	67.756027
ENSG00000274044	AC011718.2	22	-	18361823	18391105	0.000000	0.000000	0.000000
ENSG00000276874	AC011718.3	22	+	18374106	18375689	0.000000	0.000000	0.000000
ENSG00000277017	XXbac-B33L19.6	22	-	18486999	18491247	0.000000	0.000000	0.000000
ENSG00000277870	FAM230A	22	+	18487126	18500583	0.000000	0.000000	0.000000
ENSG00000278558	TMEM191B	22	+	18527802	18530573	0.296807	16.748604	22.716534
ENSG00000222630	RN7SKP131	22	-	18605802	18606102	0.000000	0.000000	0.000000
ENSG00000275793	RIMBP3	22	-	18605815	18611919	0.240023	7.831013	10.621390
ENSG00000182824	AC008132.15	22	+	18733914	18757906	0.000000	0.000000	0.000000
ENSG00000274602	PI4KAP1	22	-	18533646	18577968	2.398962	197.176559	267.435303
ENSG00000197421	GGT3P	22	-	18773665	18843399	0.000000	0.000000	0.000000
ENSG00000239989	AC008132.14	22	-	18794414	18794804	0.000000	0.000000	0.000000
ENSG00000234764	E2F6P1	22	+	18833694	18834438	0.000000	0.000000	0.000000
ENSG00000161103	AC008132.13	22	+	18846811	18861049	0.000000	0.000000	0.000000
ENSG00000215544	BCRP7	22	-	18855621	18858640	0.000000	0.000000	0.000000
ENSG00000276095	AC008103.3	22	-	18873543	18894407	0.000000	0.000000	0.000000
ENSG00000279987	AC008103.4	22	-	18883502	18884682	0.000000	0.000000	0.000000
ENSG00000183628	DGCR6	22	+	18906028	18914238	0.558000	73.154907	99.221756
ENSG00000100033	PRODH	22	-	18912777	18936553	0.731839	101.462677	137.616257
ENSG00000279560	AC007326.1	22	+	18945123	18946971	0.000000	0.000000	0.000000
ENSG00000280418	AC007326.10	22	-	18951934	18959512	0.000000	0.000000	0.000000
ENSG00000237517	DGCR5	22	+	18970514	18994628	0.189936	6.404502	8.686580
ENSG00000283406	DGCR5	22	+	18970525	19031242	0.024574	0.801754	1.087438
ENSG00000283583	AC007326.12	22	-	18980695	18981325	0.000000	0.000000	0.000000
ENSG00000271275	AC007326.9	22	-	18997138	18997595	0.000000	0.000000	0.000000
ENSG00000283366	AC000095.12	22	+	18998274	19014786	0.000000	0.000000	0.000000
ENSG00000273032	DGCR9	22	+	19017834	19020248	0.294148	9.596900	13.016505
ENSG00000270393	AC000095.9	22	-	19018043	19018916	0.186078	6.070998	8.234240
ENSG00000273164	AC000095.11	22	+	19023056	19023550	0.000000	0.000000	0.000000
ENSG00000241527	CA15P1	22	-	19031564	19034564	0.000000	0.000000	0.000000
ENSG00000131100	ATP6V1E1	22	-	17592136	17628818	9.980074	765.569824	1038.360718
ENSG00000099968	BCL2L13	22	+	17628855	17730855	0.816286	273.614502	371.109894
ENSG00000015475	BID	22	-	17734138	17774770	3.629555	244.908859	332.175781
ENSG00000264757	MIR3198-1	22	-	17764180	17764259	0.337500	11.011306	14.934898
ENSG00000269220	LINC00528	22	+	17777322	17779481	0.299537	9.772721	13.254976
ENSG00000243156	MICAL3	22	-	17787649	18024559	0.820447	212.570755	288.314819
ENSG00000093100	XXbac-B461K10.4	22	-	17787652	17811497	0.502520	16.395264	22.237291
ENSG00000207780	MIR648	22	-	17980868	17980961	0.000000	0.000000	0.000000
