Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000279442	LA16c-60D12.2	22	-	15298378	15304556	0.043858	1.772390	2.363087
ENSG00000236097	BNIP3P2	22	+	15349467	15350043	0.105719	4.272318	5.696182
ENSG00000184624	ZNF72P	22	-	15326037	15343065	0.000000	0.000000	0.000000
ENSG00000230471	LA16c-2F2.8	22	-	15600908	15604882	0.000000	0.000000	0.000000
ENSG00000231565	NEK2P2	22	-	15611759	15613096	0.144245	5.829232	7.771978
ENSG00000224435	NF1P6	22	-	15622601	15632051	0.155246	6.273805	8.364717
ENSG00000237299	LA16c-60G3.6	22	+	15541436	15578006	0.000000	0.000000	0.000000
ENSG00000235759	ARHGAP42P3	22	-	15550904	15553838	0.000000	0.000000	0.000000
ENSG00000233408	LA16c-23H5.4	22	-	15557577	15560694	0.000000	0.000000	0.000000
ENSG00000215268	LA16c-60G3.8	22	-	15562017	15564276	0.133628	5.400177	7.199930
ENSG00000213727	LA16c-60G3.7	22	-	15572089	15573265	0.000000	0.000000	0.000000
ENSG00000198062	POTEH	22	+	15690026	15721631	0.490719	23.585264	31.445679
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.259823	10.499972	13.999368
ENSG00000225255	LINC01297	22	+	15746630	15778297	0.000000	0.000000	0.000000
ENSG00000235992	GRAMD4P2	22	-	15749156	15750825	0.000000	0.000000	0.000000
ENSG00000233866	LA16c-4G1.3	22	-	15914721	15915800	0.000000	0.000000	0.000000
ENSG00000225293	ABCD1P4	22	+	16387694	16390887	0.000000	0.000000	0.000000
ENSG00000229658	PABPC1P9	22	+	16423943	16426031	0.000000	0.000000	0.000000
ENSG00000239435	KCNMB3P1	22	-	16575363	16582707	0.000000	0.000000	0.000000
ENSG00000227367	SLC9B1P4	22	-	16428947	16476870	0.000000	0.000000	0.000000
ENSG00000206195	DUXAP8	22	+	15784959	15829984	5.211582	624.440979	832.552551
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	0.983429	39.742352	52.987549
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	8.123919	328.303955	437.719971
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.239189	9.666110	12.887599
ENSG00000223875	NBEAP3	22	+	15852990	15893942	0.329203	13.303759	17.737589
ENSG00000215270	LA16c-60H5.7	22	-	15854195	15855243	0.000000	0.000000	0.000000
ENSG00000254264	IGKV3OR22-2	22	-	16925952	16926444	0.000000	0.000000	0.000000
ENSG00000172967	XKR3	22	-	16783412	16821699	0.318935	12.888808	17.184345
ENSG00000273442	AC006946.17	22	+	17080701	17081456	0.268519	10.851396	14.467911
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.129247	5.223132	6.963880
ENSG00000237438	CECR7	22	+	17036570	17060825	0.888390	116.998337	155.991135
ENSG00000240122	FABP5P11	22	-	16595089	16595485	0.000000	0.000000	0.000000
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.605082	140.507019	187.334717
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.711842	49.888641	66.515350
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	1.106227	44.704872	59.603954
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	0.143421	5.930464	7.906949
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.225210	54.063686	72.081848
